date,open,high,low,close,volume
2025-06-26,25269.0,25565.3,25259.9,25549.0,0.0
2025-06-27,25576.7,25654.2,25523.5,25637.8,0.0
2025-06-30,25661.7,25669.3,25473.3,25517.0,0.0
2025-07-01,25551.3,25593.4,25501.8,25541.8,0.0
2025-07-02,25588.3,25608.1,25378.8,25453.4,0.0
2025-07-03,25505.1,25587.5,25384.3,25405.3,0.0
2025-07-04,25428.8,25470.2,25331.7,25461.0,0.0
2025-07-07,25450.5,25489.8,25407.2,25461.3,0.0
2025-07-08,25427.8,25548.0,25424.2,25522.5,0.0
2025-07-09,25514.6,25548.7,25424.3,25476.1,0.0
2025-07-10,25511.7,25524.0,25340.5,25355.2,0.0
2025-07-11,25255.5,25322.5,25129.0,25149.8,0.0
2025-07-14,25149.5,25151.1,25002.0,25082.3,0.0
2025-07-15,25089.5,25245.2,25088.5,25195.8,0.0
2025-07-16,25196.6,25255.3,25121.0,25212.0,0.0
2025-07-17,25230.8,25238.3,25101.0,25111.5,0.0
2025-07-18,25108.5,25144.6,24918.7,24968.4,0.0
2025-07-21,24999.0,25111.4,24882.3,25090.7,0.0
2025-07-22,25166.7,25182.0,25035.5,25060.9,0.0
2025-07-23,25139.3,25233.5,25085.5,25219.9,0.0
2025-07-24,25243.3,25246.2,25018.7,25062.1,0.0
2025-07-25,25010.3,25010.3,24806.3,24837.0,0.0
2025-07-28,24782.5,24889.2,24646.6,24680.9,0.0
2025-07-29,24609.7,24847.2,24598.6,24821.1,0.0
2025-07-30,24890.4,24902.3,24772.0,24855.0,0.0
2025-07-31,24642.2,24956.5,24635.0,24768.3,0.0
2025-08-01,24734.9,24784.2,24535.0,24565.3,0.0
2025-08-04,24596.0,24736.2,24554.0,24722.8,0.0
2025-08-05,24720.2,24733.1,24590.3,24649.5,0.0
2025-08-06,24641.3,24671.4,24539.2,24574.2,0.0
2025-08-07,24464.2,24634.2,24344.2,24596.2,0.0
2025-08-08,24544.2,24585.5,24337.5,24363.3,0.0
2025-08-11,24371.5,24600.8,24347.5,24585.0,0.0
2025-08-12,24563.3,24702.6,24465.7,24487.4,0.0
2025-08-13,24586.2,24664.5,24535.2,24619.3,0.0
2025-08-14,24607.2,24673.7,24596.9,24631.3,0.0
2025-08-18,24938.2,25022.0,24852.8,24877.0,0.0
2025-08-19,24891.3,25012.7,24874.0,24980.7,0.0
2025-08-20,24965.8,25088.7,24929.7,25050.5,0.0
2025-08-21,25142.0,25153.7,25054.9,25083.8,0.0
2025-08-22,25064.2,25084.8,24859.2,24870.1,0.0
2025-08-25,24949.2,25021.5,24894.3,24967.8,0.0
2025-08-26,24899.5,24919.7,24689.6,24712.0,0.0
2025-08-28,24695.8,24702.7,24481.6,24500.9,0.0
2025-08-29,24466.7,24572.5,24404.7,24426.8,0.0
2025-09-01,24432.7,24635.6,24432.7,24625.0,0.0
2025-09-02,24653.0,24756.1,24522.3,24579.6,0.0
2025-09-03,24616.5,24737.0,24533.2,24715.0,0.0
2025-09-04,24980.8,24980.8,24708.2,24734.3,0.0
2025-09-05,24818.8,24832.3,24621.6,24741.0,0.0
2025-09-08,24802.6,24885.5,24751.5,24773.2,0.0
2025-09-09,24864.1,24891.8,24814.0,24868.6,0.0
2025-09-10,24991.0,25035.7,24915.0,24973.1,0.0
2025-09-11,24945.5,25037.3,24940.2,25005.5,0.0
2025-09-12,25074.5,25139.5,25038.0,25114.0,0.0
2025-09-15,25118.9,25138.5,25048.8,25069.2,0.0
