2026-04-09 15:48:25,659 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:26,806 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:27,947 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:29,084 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:30,224 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:31,366 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:33,176 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:34,324 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:35,628 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:36,763 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:37,877 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:39,031 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:40,169 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:41,318 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:42,467 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-09 15:48:43,603 | INFO | market_scheduler | NIFTY spot=23775.10
2026-04-12 18:56:50,218 | INFO | market_scheduler | Starting MarketScheduler
2026-04-12 18:56:50,218 | INFO | samco_client | Attempting SAMCO login
2026-04-12 18:56:50,996 | INFO | samco_client | SAMCO login successful
2026-04-12 18:56:51,139 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:51,140 | WARNING | market_scheduler | Bot started after ORB window — no range built. Trading disabled today. Restart before 09:15 tomorrow.
2026-04-12 18:56:52,244 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:53,286 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:54,339 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:55,621 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:56,679 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:57,738 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:58,836 | INFO | market_scheduler | NIFTY spot=24050.60
2026-04-12 18:56:58,950 | INFO | market_scheduler | Stopping MarketScheduler
2026-04-13 16:28:37,386 | INFO | market_scheduler | Starting MarketScheduler
2026-04-13 16:28:37,386 | INFO | samco_client | Attempting SAMCO login
2026-04-13 16:29:53,215 | INFO | market_scheduler | Starting MarketScheduler
2026-04-13 16:29:53,215 | INFO | samco_client | Attempting SAMCO login
2026-04-13 16:30:27,543 | INFO | market_scheduler | Starting MarketScheduler
2026-04-13 16:30:27,547 | INFO | samco_client | Attempting SAMCO login
2026-04-13 16:30:28,097 | INFO | samco_client | SAMCO login successful
2026-04-13 16:30:28,203 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:28,203 | WARNING | market_scheduler | Bot started after ORB window — no range built. Trading disabled today. Restart before 09:15 tomorrow.
2026-04-13 16:30:29,256 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:30,301 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:31,342 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:32,456 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:33,510 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:34,585 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:35,648 | INFO | market_scheduler | NIFTY spot=23842.65
2026-04-13 16:30:35,756 | INFO | market_scheduler | Stopping MarketScheduler
